index,y
1982-04,0.3424
1982-05,0.3421
1982-06,0.3287
1982-07,0.3385
1982-08,0.3315
1982-09,0.3419
1982-10,0.3584
1982-11,0.3747
1982-12,0.4331
1983-01,0.3686
1983-02,0.3481
1983-03,0.3658
1983-04,0.3511
1983-05,0.3605
1983-06,0.3471
1983-07,0.3645
1983-08,0.376
1983-09,0.3776
1983-10,0.3741
1983-11,0.3906
1983-12,0.459
1984-01,0.3888
1984-02,0.3771
1984-03,0.3978
1984-04,0.3833
1984-05,0.414
1984-06,0.3815
1984-07,0.393
1984-08,0.409
1984-09,0.3947
1984-10,0.4245
1984-11,0.4365
1984-12,0.4881
1985-01,0.4256
1985-02,0.3918
1985-03,0.4161
1985-04,0.4198
1985-05,0.4462
1985-06,0.4068
1985-07,0.4485
1985-08,0.466
1985-09,0.4552
1985-10,0.4936
1985-11,0.5056
1985-12,0.5639
1986-01,0.5043
1986-02,0.4529
1986-03,0.4803
1986-04,0.4972
1986-05,0.5308
1986-06,0.4848
1986-07,0.5263
1986-08,0.5384
1986-09,0.5374
1986-10,0.5704
1986-11,0.5638
1986-12,0.6632
1987-01,0.5716
1987-02,0.5251
1987-03,0.5436
1987-04,0.5581
1987-05,0.5651
1987-06,0.5423
1987-07,0.5986
1987-08,0.5837
1987-09,0.5927
1987-10,0.6233
1987-11,0.6219
1987-12,0.7398
1988-01,0.605
1988-02,0.5861
1988-03,0.6253
1988-04,0.6119
1988-05,0.6305
1988-06,0.6355
1988-07,0.6587
1988-08,0.6564
1988-09,0.66
1988-10,0.6702
1988-11,0.6708
1988-12,0.7739
1989-01,0.7328
1989-02,0.6607
1989-03,0.7132
1989-04,0.6939
1989-05,0.71
1989-06,0.7217
1989-07,0.7413
1989-08,0.7455
1989-09,0.7669
1989-10,0.7937
1989-11,0.8075
1989-12,0.9427
1990-01,0.8575
1990-02,0.7644
1990-03,0.8403
1990-04,0.8046
1990-05,0.8089
1990-06,0.799
1990-07,0.815
1990-08,0.828
1990-09,0.8124
1990-10,0.833
1990-11,0.8515
1990-12,0.9457
1991-01,0.8617
1991-02,0.7711
1991-03,0.8133
1991-04,0.7974
1991-05,0.8206
1991-06,0.8013
1991-07,0.8294
